COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,year,value
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2010,5.634883333333332
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2010,113.0644804488214
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2010,1.502848629672298
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2010,6.770269028709395
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2010,1.759226710587178
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2010,30.36791533830595
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2010,87.779875
United States,Domestic currency per US Dollar,Period average,Annual,Units,2010,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2010,7.32122196115288
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2010,0.6471793455601648
India,Domestic currency per US Dollar,Period average,Annual,Units,2010,45.72581212121212
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2010,90.0129741146296
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2010,69.64929166666668
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2011,5.444108333333335
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2011,110.5652078513965
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2011,1.674954551971326
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2011,6.46146132655007
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2011,1.672828755256592
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2011,29.38234137093022
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2011,79.80701983218918
United States,Domestic currency per US Dollar,Period average,Annual,Units,2011,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2011,7.261132132327345
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2011,0.6241408357404948
India,Domestic currency per US Dollar,Period average,Annual,Units,2011,46.67046666666668
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2011,85.7295518299287
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2011,74.1524
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2012,640.6534166666668
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2012,127.60335350681
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2012,1.796000944413546
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2012,6.312332826831862
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2012,1.953068611124869
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2012,30.8398313519917
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2012,79.7904554170065
United States,Domestic currency per US Dollar,Period average,Annual,Units,2012,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2012,8.209968626593316
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2012,0.6330469888573272
India,Domestic currency per US Dollar,Period average,Annual,Units,2012,53.43723333333332
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2012,92.8804110841429
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2012,81.86265833333331
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2013,933.570456356879
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2013,129.0690309328877
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2013,1.903768242447518
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2013,6.19575834608231
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2013,2.156089151263111
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2013,31.83714364028132
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2013,97.59565827763852
United States,Domestic currency per US Dollar,Period average,Annual,Units,2013,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2013,9.65505606913526
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2013,0.6396605776134768
India,Domestic currency per US Dollar,Period average,Annual,Units,2013,58.59784541666668
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2013,89.8502214987385
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2013,78.103235
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2014,984.3457475600462
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2014,130.5646852188292
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2014,2.188542417754735
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2014,6.14343409448867
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2014,2.352951962766688
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2014,38.37820714441685
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2014,105.9447810340245
United States,Domestic currency per US Dollar,Period average,Annual,Units,2014,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2014,10.85265556878306
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2014,0.607729626878255
India,Domestic currency per US Dollar,Period average,Annual,Units,2014,61.0295144607843
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2014,89.8243353779009
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2014,77.64140833333332
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2015,1162.615328625541
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2015,135.8569127970886
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2015,2.720008527905785
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2015,6.227488672984548
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2015,3.326904382768792
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2015,60.93765010889515
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2015,121.0440256840111
United States,Domestic currency per US Dollar,Period average,Annual,Units,2015,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2015,12.7589308811644
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2015,0.654545478931426
India,Domestic currency per US Dollar,Period average,Annual,Units,2015,64.1519444632786
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2015,107.553234404315
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2015,77.94690833333333
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2016,1234.869516666667
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2016,145.5816674920256
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2016,3.02013474808043
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2016,6.644477829446805
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2016,3.491313421572705
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2016,67.05593333333331
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2016,108.7929000468342
United States,Domestic currency per US Dollar,Period average,Annual,Units,2016,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2016,14.70961088552673
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2016,0.7406344636970842
India,Domestic currency per US Dollar,Period average,Annual,Units,2016,67.19531280738939
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2016,107.806815805024
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2016,78.46809166666668
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2017,1360.358707040852
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2017,152.4464139487672
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2017,3.648132635368665
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2017,6.758755086335972
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2017,3.19138944630048
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2017,58.34280118517192
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2017,112.1661410818712
United States,Domestic currency per US Dollar,Period average,Annual,Units,2017,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2017,13.32380142449915
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2017,0.7769766823441225
India,Domestic currency per US Dollar,Period average,Annual,Units,2017,65.12156864506595
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2017,105.633078151149
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2017,80.43754166666668
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2018,1429.807975201071
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2018,162.4648587367782
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2018,4.82837014720942
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2018,6.615957177354392
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2018,3.653825361457552
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2018,62.66813333333335
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2018,110.4231793410602
United States,Domestic currency per US Dollar,Period average,Annual,Units,2018,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2018,13.23392647158334
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2018,0.7495315402598468
India,Domestic currency per US Dollar,Period average,Annual,Units,2018,68.38946709354215
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2018,101.046821879543
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2018,83.46620191666665
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2019,1518.255116666666
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2019,178.7449250458478
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2019,5.673819308435742
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2019,6.908385009929012
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2019,3.944471097250702
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2019,64.73765833333331
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2019,109.0096659008632
United States,Domestic currency per US Dollar,Period average,Annual,Units,2019,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2019,14.44842705483334
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2019,0.783445110011929
India,Domestic currency per US Dollar,Period average,Annual,Units,2019,70.42034053595508
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2019,106.588933804405
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2019,84.4535225
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2020,1381.619166666667
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2020,185.5925577722129
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2020,7.008605415585218
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2020,6.900767269449248
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2020,5.155178787512808
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2020,72.10490833333331
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2020,106.7745822624372
United States,Domestic currency per US Dollar,Period average,Annual,Units,2020,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2020,16.45910539033333
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2020,0.7799995766971533
India,Domestic currency per US Dollar,Period average,Annual,Units,2020,74.09956688360525
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2020,104.710608186968
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2020,84.87139166666668
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2021,
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2021,198.7643168446561
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2021,8.850407549283148
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2021,6.44897518024316
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2021,5.39440078962503
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2021,73.65435
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2021,109.7543238394172
United States,Domestic currency per US Dollar,Period average,Annual,Units,2021,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2021,14.77867821391667
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2021,0.7270649446883225
India,Domestic currency per US Dollar,Period average,Annual,Units,2021,73.91801281543512
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2021,100.880222566186
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2021,85.08376325
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2022,
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2022,322.6326742564745
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2022,16.54886041730672
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2022,6.737158112371188
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2022,5.163970291021112
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2022,68.48494166666669
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2022,131.4981404437639
United States,Domestic currency per US Dollar,Period average,Annual,Units,2022,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2022,16.3558534845
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2022,0.8113017158277732
India,Domestic currency per US Dollar,Period average,Annual,Units,2022,78.60449058299157
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2022,113.474367224106
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2022,91.7454544396961
Myanmar,Domestic currency per US Dollar,Period average,Annual,Units,2023,
Sri Lanka,Domestic currency per US Dollar,Period average,Annual,Units,2023,327.5065333333332
"Türkiye, Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2023,23.73856612199181
"China, People's Republic of",Domestic currency per US Dollar,Period average,Annual,Units,2023,7.083998423436308
Brazil,Domestic currency per US Dollar,Period average,Annual,Units,2023,4.99437976287199
Russian Federation,Domestic currency per US Dollar,Period average,Annual,Units,2023,85.16200833333332
Japan,Domestic currency per US Dollar,Period average,Annual,Units,2023,140.4911000623402
United States,Domestic currency per US Dollar,Period average,Annual,Units,2023,1.0
South Africa,Domestic currency per US Dollar,Period average,Annual,Units,2023,18.4502441785
United Kingdom,Domestic currency per US Dollar,Period average,Annual,Units,2023,0.8045389067343528
India,Domestic currency per US Dollar,Period average,Annual,Units,2023,82.59927644607845
French Polynesia,Domestic currency per US Dollar,Period average,Annual,Units,2023,110.34717131744
Bangladesh,Domestic currency per US Dollar,Period average,Annual,Units,2023,106.3094842974834
