COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,637701.842377847
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,8018804.468358271
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,24279619.37543121
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,424512.8259093383
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,2640566.966324437
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,34742.70592967109
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,3099618.261138441
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,15476.6464557278
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1152738.704937669
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,16214959.55488799
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,562806.4178097578
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,7919079.478417723
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2010,1485388.145951291
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,661056.0644236921
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,8213976.996461218
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,26664257.9577894
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,380836.7284488034
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,3220300.798343719
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,35244.71579427456
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,3050066.254492913
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,19085.4196161534
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,1095447.048257709
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,39429.0144414474
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,17401706.7570852
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,513912.8048737574
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,7920728.727381057
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2011,1470928.965310126
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,746851.442060988
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,8819004.54041897
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,27080174.37225583
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,431438.8636828812
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,3557250.559628973
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,37002.52001061299
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,3307009.16271479
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,10814.9661600234
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,1238366.644352912
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,45601.7137203771
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,17243860.70332696
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,666171.3399261821
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,8423310.783526951
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2012,1533867.944679684
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,783707.5659319676
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,8609427.698056022
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,29513421.11908352
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,408963.6400359483
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,4202137.221157565
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,42155.98029116085
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,3415025.810594709
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,13337.8793099241
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,1289112.72659488
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,47808.4959092055
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,16491545.88816589
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,636809.8468917427
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,8875025.32898588
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2013,1483653.532013767
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,854505.1899590082
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,8258846.528870333
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,31828303.53584489
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,426132.7142239079
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,4873558.676895849
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,50875.56779692232
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,3234535.262470051
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,17201.2593295457
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,964950.31606916
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,52811.2097045173
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,16669092.750941
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,692110.1478954658
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,8648624.483820993
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2014,1528633.873816569
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,899757.2088924908
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,7443199.419880477
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,30892217.01878358
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,356651.20310079
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,4524314.114557125
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,55360.77089123161
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,3001857.567587675
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,20497.4802474324
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,838767.9502547111
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,53740.2371763087
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,14937130.45013615
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,600963.5743645387
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,7754893.846896145
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2015,1183041.737955506
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,910455.718169018
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,7425075.646621316
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,32160756.99132772
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,401183.3346499582
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,4593957.179865483
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,59873.15438621713
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,2886669.45405406
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,33618.9974697754
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,1021404.1943302
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,54857.4316108101
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,13616357.2489752
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,574315.2225796651
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,7784417.5197952
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2016,1396299.880801333
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1040984.67402519
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,8492321.150867661
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,35412791.27001443
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,523576.1124227647
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,5126292.360874089
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,68591.57871899655
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,3368677.722395465
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,39630.8318630748
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1066440.358205292
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,60560.5630382209
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,15081955.98985366
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,694723.7173421098
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,8849081.913003648
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2017,1523085.382987603
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,1039872.353004328
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,8034343.457616393
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,34902577.75112898
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,445809.0845993076
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,5325231.38951296
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,80786.26640500744
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,3209467.945027817
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,41347.2052789411
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,969191.9851969013
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,61392.1829880762
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,14492512.49865094
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,573375.9963547353
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,8704071.034650939
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2018,1470876.961552671
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1128396.548592287
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,8539829.51625956
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,40511618.42690315
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,466660.0122364396
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,5546830.105014799
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,88291.00405098025
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,3363003.191416701
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,44750.6662517425
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1154802.183695919
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,65253.5751660141
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,15477512.63662366
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,579258.4621569037
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,9476245.885363674
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2019,1678861.069506466
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1204727.07955281
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,10239701.67287392
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,46744160.06143177
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,439136.2085866651
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,6592281.755508016
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,95497.61634155788
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,3777263.50910495
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1052353.538388628
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,17838479.01810685
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,638835.0024254121
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,11073676.06007685
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1474503.820227347
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1304487.991670526
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,10223514.28812715
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,53775457.99187956
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,453878.2625370236
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,7335579.665625425
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,116817.1315532027
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,3705954.627479241
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1172919.799226053
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,17866885.39043049
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,525142.6949627218
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,11407388.44163049
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1580492.967676464
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,1263638.717829595
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,10085003.78761443
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,47704194.22902357
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,439241.0378001811
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,6793898.67730515
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,113801.4167793887
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,3483364.798460632
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,17258880.34228602
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,665723.0678810172
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,11022133.05514603
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,1751888.131742315
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,1367427.286584483
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,10703965.33480868
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,54252800.70147584
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,368462.8944932039
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,6773958.887229906
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,117490.8558123544
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,3709397.827597203
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,17786283.77057944
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,643951.0037432581
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,11972515.32697943
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,2087855.419115175
