,COUNTRY,Year,Current_Account_Balance,Exchange_Rate,Total_Liabilities,Total_Reserves
0,Bangladesh,2010,2108.502536741668,69.64929166666668,34742.70592967109,11174.82866695209
1,Bangladesh,2011,-161.8425386788246,74.1524,35244.71579427456,9174.74965112681
2,Bangladesh,2012,2575.500680610494,81.86265833333331,37002.52001061299,12754.22689960717
3,Bangladesh,2013,2058.473420430864,78.103235,42155.98029116085,18087.68920006199
4,Bangladesh,2014,755.7907616601407,77.64140833333332,50875.56779692232,22319.78831247974
5,Bangladesh,2015,2579.621008776205,77.94690833333333,55360.77089123161,27493.07797199493
6,Bangladesh,2016,931.393867987116,78.46809166666668,59873.15438621713,32283.8385389037
7,Bangladesh,2017,-5984.992475631517,80.43754166666668,68591.57871899655,33431.48289317122
8,Bangladesh,2018,-7095.172568149776,83.46620191666665,80786.26640500744,32028.38371659495
9,Bangladesh,2019,-2948.537074514936,84.4535225,88291.00405098025,32696.93614029252
10,Bangladesh,2020,1192.771686325682,84.87139166666668,95497.61634155788,43171.73533580008
11,Bangladesh,2021,-15775.41583307423,85.08376325,116817.1315532027,46165.53245715551
12,Bangladesh,2022,-14437.64529454949,91.7454544396961,113801.4167793887,33747.20227170213
13,Bangladesh,2023,4387.571900121793,106.3094842974834,117490.8558123544,21859.70919088923
14,Bangladesh,2024,1870.437041054764,115.6036537966482,120618.1423621722,21394.79573304053
15,Brazil,2010,-86717.77808425,1.759226710587178,1485388.145951291,288574.6235366218
16,Brazil,2011,-83576.205984365,1.672828755256592,1470928.965310126,352010.222755829
17,Brazil,2012,-92678.17133637,1.953068611124869,1533867.944679684,373160.9775397316
18,Brazil,2013,-88384.03009309,2.156089151263111,1483653.532013767,358816.422466118
19,Brazil,2014,-110493.241349855,2.352951962766688,1528633.873816569,363570.2260846609
20,Brazil,2015,-63408.884124215,3.326904382768792,1183041.737955506,356464.9803274883
21,Brazil,2016,-30528.82546682,3.491313421572705,1396299.880801333,364984.039092456
22,Brazil,2017,-25263.59855021,3.19138944630048,1523085.382987603,373955.5186864875
23,Brazil,2018,-53818.30422098499,3.653825361457552,1470876.961552671,374709.6734478277
24,Brazil,2019,-65001.149018105,3.944471097250702,1678861.069506466,356886.3869119788
25,Brazil,2020,-24913.561503085,5.155178787512808,1474503.820227347,355614.2514561398
26,Brazil,2021,-40409.04595650999,5.39440078962503,1580492.967676464,362210.0791813173
27,Brazil,2022,-42156.80588137002,5.163970291021112,1751888.131742315,324673.4497814004
28,Brazil,2023,-27932.78228675497,4.99437976287199,2087855.419115175,355021.395541562
29,Brazil,2024,-61194.26683739999,5.388934905709595,1775538.080843389,329732.4438133777
30,"China, People's Republic of",2010,237810.3896079548,6.770269028709395,2640566.966324437,2913711.711315375
31,"China, People's Republic of",2011,136096.7615775501,6.46146132655007,3220300.798343719,3254674.06356349
32,"China, People's Republic of",2012,215391.7474694416,6.312332826831862,3557250.559628973,3387512.973773815
33,"China, People's Republic of",2013,148203.9498798773,6.19575834608231,4202137.221157565,3880368.26525293
34,"China, People's Republic of",2014,236046.577873629,6.14343409448867,4873558.676895849,3900039.302991087
35,"China, People's Republic of",2015,293022.3170355471,6.227488672984548,4524314.114557125,3405253.363888138
36,"China, People's Republic of",2016,191337.0359419939,6.644477829446805,4593957.179865483,3097658.421378402
37,"China, People's Republic of",2017,188676.1261211619,6.758755086335972,5126292.360874089,3235681.60721304
38,"China, People's Republic of",2018,24130.90918449854,6.615957177354392,5325231.38951296,3168216.331199085
39,"China, People's Republic of",2019,102909.8760083877,6.908385009929012,5546830.105014799,3222894.57803636
40,"China, People's Republic of",2020,248835.64393604,6.900767269449248,6592281.755508016,3357240.875433715
41,"China, People's Republic of",2021,352885.75463463,6.44897518024316,7335579.665625425,3427931.394628851
42,"China, People's Republic of",2022,443374.2571164299,6.737158112371188,6793898.67730515,3306839.412813779
43,"China, People's Republic of",2023,263382.35336819,7.083998423436308,6773958.887229906,3449544.415518985
44,"China, People's Republic of",2024,423919.2147163,7.197491107899168,6920945.413839906,3456024.808739121
45,France,2010,,,7919079.478417723,165852.0880711885
46,France,2011,,,7920728.727381057,168490.2911435893
47,France,2012,,,8423310.783526951,184521.8256037497
48,France,2013,,,8875025.32898588,145161.1081786619
49,France,2014,,,8648624.483820993,143977.1043334337
50,France,2015,,,7754893.846896145,138198.984338294
51,France,2016,,,7784417.5197952,145866.0687701827
52,France,2017,,,8849081.913003648,156322.4311092472
53,France,2018,,,8704071.034650939,166483.4001967897
54,France,2019,,,9476245.885363674,189006.4352954885
55,France,2020,,,11073676.06007685,224236.4178677114
56,France,2021,,,11407388.44163049,244280.3333978951
57,France,2022,,,11022133.05514603,242415.6188420221
58,France,2023,,,11972515.32697943,240792.0077842541
59,France,2024,,,11927057.00448088,282857.0028138249
60,French Polynesia,2010,,90.0129741146296,,
61,French Polynesia,2011,,85.7295518299287,,
62,French Polynesia,2012,,92.8804110841429,,
63,French Polynesia,2013,,89.8502214987385,,
64,French Polynesia,2014,,89.8243353779009,,
65,French Polynesia,2015,,107.553234404315,,
66,French Polynesia,2016,,107.806815805024,,
67,French Polynesia,2017,,105.633078151149,,
68,French Polynesia,2018,,101.046821879543,,
69,French Polynesia,2019,,106.588933804405,,
70,French Polynesia,2020,,104.710608186968,,
71,French Polynesia,2021,,100.880222566186,,
72,French Polynesia,2022,,113.474367224106,,
73,French Polynesia,2023,,110.34717131744,,
74,French Polynesia,2024,,110.3063389074213,,
75,Germany,2010,200147.5695239532,,8018804.468358271,215977.935889943
76,Germany,2011,239390.9122423891,,8213976.996461218,234104.0848874098
77,Germany,2012,258786.5552487116,,8819004.54041897,248856.4902857565
78,Germany,2013,256178.7632886459,,8609427.698056022,198535.1656636072
79,Germany,2014,285239.8198616066,,8258846.528870333,193484.7588479195
80,Germany,2015,277320.5270528032,,7443199.419880477,173730.9305554249
81,Germany,2016,314857.6038938184,,7425075.646621316,184031.3399533968
82,Germany,2017,304192.7895237062,,8492321.150867661,199983.070123869
83,Germany,2018,342181.7276975097,,8034343.457616393,198027.0616754032
84,Germany,2019,311830.3194050017,,8539829.51625956,224027.9610164154
85,Germany,2020,250193.181663212,,10239701.67287392,268408.6033486789
86,Germany,2021,301386.4692080079,,10223514.28812715,295736.2194135975
87,Germany,2022,161758.5037750409,,10085003.78761443,293913.6901867965
88,Germany,2023,251479.1488321242,,10703965.33480868,322700.0662745271
89,Germany,2024,267056.4658853762,,10767388.30156982,377935.5743562425
90,India,2010,-54515.87762436609,45.72581212121212,637701.842377847,300480.1687863455
91,India,2011,-62517.63722152142,46.67046666666668,661056.0644236921,298739.463090872
92,India,2012,-91471.24584572304,53.43723333333332,746851.442060988,300425.5174465462
93,India,2013,-49122.67038770356,58.59784541666668,783707.5659319676,298092.4787405806
94,India,2014,-27314.28199258938,61.0295144607843,854505.1899590082,325081.0351278905
95,India,2015,-22456.83800962087,64.1519444632786,899757.2088924908,353319.0610132244
96,India,2016,-12113.78770736884,67.19531280738939,910455.718169018,361694.3219720358
97,India,2017,-38167.65922351103,65.12156864506595,1040984.67402519,412613.7920199238
98,India,2018,-65599.43905266761,68.38946709354215,1039872.353004328,399167.1592266815
99,India,2019,-29762.86465032816,70.42034053595508,1128396.548592287,463469.902152507
100,India,2020,32730.04858820798,74.09956688360525,1204727.07955281,590227.3599288962
101,India,2021,-33422.35935793977,73.91801281543512,1304487.991670526,638484.7799308357
102,India,2022,-79050.94195132396,78.60449058299157,1263638.717829595,567298.1539171399
103,India,2023,-31962.28741226523,82.59927644607845,1367427.286584483,627792.750126715
104,India,2024,-32428.39601106392,83.669281580941,1443220.63578607,643042.5606255407
105,Italy,2010,-69584.35220880187,,3099618.261138441,158478.3062133865
106,Italy,2011,-63248.87840381461,,3050066.254492913,169872.3609847408
107,Italy,2012,-4515.562329569192,,3307009.16271479,181670.3187011458
108,Italy,2013,22355.99375085751,,3415025.810594709,145724.5091888718
109,Italy,2014,37158.22542629547,,3234535.262470051,142756.4932545029
110,Italy,2015,22759.04636661825,,3001857.567587675,130592.4329795149
111,Italy,2016,46449.40120906545,,2886669.45405406,135133.283786776
112,Italy,2017,48867.63314757879,,3368677.722395465,151120.4400500727
113,Italy,2018,53985.85878549421,,3209467.945027817,152361.9364215528
114,Italy,2019,65311.69994204483,,3363003.191416701,175397.9541311084
115,Italy,2020,75096.66392097165,,3777263.50910495,210687.3305531704
116,Italy,2021,46292.9197860744,,3705954.627479241,227478.3271592574
117,Italy,2022,-36325.20263913698,,3483364.798460632,224580.5776121386
118,Italy,2023,3260.629921948069,,3709397.827597203,247396.3842539834
119,Italy,2024,26760.07478719398,,3814904.704481711,290547.2467263591
120,Japan,2010,220887.9861440537,87.779875,,1104563.760972065
121,Japan,2011,129596.684408633,79.80701983218918,,1295838.676317295
122,Japan,2012,60116.99969711156,79.7904554170065,,1268085.524238303
123,Japan,2013,46378.53598011208,97.59565827763852,,1266851.401020242
124,Japan,2014,36351.46923996932,105.9447810340245,,1260680.31006282
125,Japan,2015,136471.8016670147,121.0440256840111,,1233097.7902818
126,Japan,2016,197049.3925321814,108.7929000468342,,1216518.779919677
127,Japan,2017,203168.7270823949,112.1661410818712,,1264140.980383626
128,Japan,2018,177268.5352764231,110.4231793410602,,1270467.038786778
129,Japan,2019,176609.9976196956,109.0096659008632,,1322443.255598643
130,Japan,2020,150028.9262807304,106.7745822624372,,1390808.939303365
131,Japan,2021,196525.0674688418,109.7543238394172,,1405748.991418918
132,Japan,2022,90209.90494091505,131.4981404437639,,1227573.263129264
133,Japan,2023,156591.9643244305,140.4911000623402,,1294636.035263817
134,Japan,2024,194256.9926295677,151.3662913027518,,1230666.979042453
135,Myanmar,2010,1574.15674726505,5.634883333333332,15476.6464557278,
136,Myanmar,2011,-1561.1223343245,5.444108333333335,19085.4196161534,
137,Myanmar,2012,-1259.6467523723,640.6534166666668,10814.9661600234,
138,Myanmar,2013,-388.582899831015,933.570456356879,13337.8793099241,
139,Myanmar,2014,-2481.49840281779,984.3457475600462,17201.2593295457,
140,Myanmar,2015,-3109.12653341224,1162.615328625541,20497.4802474324,
141,Myanmar,2016,-1919.04782797293,1234.869516666667,33618.9974697754,
142,Myanmar,2017,-4916.79003335814,1360.358707040852,39630.8318630748,
143,Myanmar,2018,-2561.15856890545,1429.807975201071,41347.2052789411,
144,Myanmar,2019,67.7204794120727,1518.255116666666,44750.6662517425,
145,Myanmar,2020,,1381.619166666667,,
146,Russian Federation,2010,67452.2,30.36791533830595,1152738.704937669,479222.324221266
147,Russian Federation,2011,97273.94,29.38234137093022,1095447.048257709,497410.2127893539
148,Russian Federation,2012,71282.19,30.8398313519917,1238366.644352912,537816.3728071289
149,Russian Federation,2013,33428.2,31.83714364028132,1289112.72659488,509692.0743888875
150,Russian Federation,2014,57512.76000000001,38.37820714441685,964950.31606916,386216.3371491123
151,Russian Federation,2015,67777.18000000001,60.93765010889515,838767.9502547111,368042.9502588406
152,Russian Federation,2016,24468.80999999998,67.05593333333331,1021404.1943302,377052.2043079455
153,Russian Federation,2017,32178.63,58.34280118517192,1066440.358205292,432730.5079641104
154,Russian Federation,2018,115679.87,62.66813333333335,969191.9851969013,468645.2160827187
155,Russian Federation,2019,65627.25,64.73765833333331,1154802.183695919,555179.4616389249
156,Russian Federation,2020,35372.68999999999,72.10490833333331,1052353.538388628,596769.8627695641
157,Russian Federation,2021,124953.03,73.65435,1172919.799226053,632241.824796464
158,Russian Federation,2022,237734.7713391418,68.48494166666669,,581709.9569462059
159,Russian Federation,2023,49438.99999999999,85.16200833333332,,597217.0638191967
160,Russian Federation,2024,62286.73999999999,,,
161,South Africa,2010,-5421.631418057034,7.32122196115288,424512.8259093383,43819.54574902379
162,South Africa,2011,-9254.146535696378,7.261132132327345,380836.7284488034,48748.26024603807
163,South Africa,2012,-20346.17659984589,8.209968626593316,431438.8636828812,50688.07840502973
164,South Africa,2013,-21400.78969860228,9.65505606913526,408963.6400359483,49708.1748935691
165,South Africa,2014,-18344.93866043787,10.85265556878306,426132.7142239079,49121.56838048536
166,South Africa,2015,-14944.18663213171,12.7589308811644,356651.20310079,45887.06575672488
167,South Africa,2016,-8521.994957009483,14.70961088552673,401183.3346499582,47180.12730085645
168,South Africa,2017,-9056.99680589754,13.32380142449915,523576.1124227647,50722.89136323611
169,South Africa,2018,-12159.9266177368,13.23392647158334,445809.0845993076,51642.04196667351
170,South Africa,2019,-10200.41053859004,14.44842705483334,466660.0122364396,55055.89365686704
171,South Africa,2020,6771.399115516772,16.45910539033333,439136.2085866651,55008.49199555677
172,South Africa,2021,15700.9693510441,14.77867821391667,453878.2625370236,57597.14961725167
173,South Africa,2022,-1877.973944670412,16.3558534845,439241.0378001811,60553.11300625435
174,South Africa,2023,-6143.218091438013,18.4502441785,368462.8944932039,62491.67582031288
175,South Africa,2024,-2383.641615559067,18.3286575505,382372.6534226113,65434.95715922648
176,Sri Lanka,2010,-1075.03,113.0644804488214,,7195.358507000008
177,Sri Lanka,2011,-4615.42,110.5652078513965,39429.0144414474,6739.196545089814
178,Sri Lanka,2012,-4009.14985106102,127.60335350681,45601.7137203771,7106.460348668844
179,Sri Lanka,2013,-2540.57515351739,129.0690309328877,47808.4959092055,7500.000871539026
180,Sri Lanka,2014,-1987.684224225,130.5646852188292,52811.2097045173,8210.750127741587
181,Sri Lanka,2015,-1882.77408392544,135.8569127970886,53740.2371763087,7302.096590223849
182,Sri Lanka,2016,-1742.39971522894,145.5816674920256,54857.4316108101,6008.199165177995
183,Sri Lanka,2017,-2308.99562300696,152.4464139487672,60560.5630382209,7959.047614936752
184,Sri Lanka,2018,-2799.05306555055,162.4648587367782,61392.1829880762,6920.82556609992
185,Sri Lanka,2019,-1843.40022316081,178.7449250458478,65253.5751660141,7648.305273424422
186,Sri Lanka,2020,-1187.12015320636,185.5925577722129,,5663.994385327835
187,Sri Lanka,2021,-3284.27221768832,198.7643168446561,,3136.991506347874
188,Sri Lanka,2022,-1448.45367813425,322.6326742564745,,1896.231717158465
189,Sri Lanka,2023,1558.90929640974,327.5065333333332,,4405.117005006622
190,Sri Lanka,2024,,,,6093.946546374369
191,"Türkiye, Republic of",2010,-44625.0,1.502848629672298,562806.4178097578,85959.46166598257
192,"Türkiye, Republic of",2011,-74403.0,1.674954551971326,513912.8048737574,87937.253858338
193,"Türkiye, Republic of",2012,-41796.0,1.796000944413546,666171.3399261821,119182.9659754095
194,"Türkiye, Republic of",2013,-49329.0,1.903768242447518,636809.8468917427,131053.847400859
195,"Türkiye, Republic of",2014,-32110.0,2.188542417754735,692110.1478954658,127421.9212357592
196,"Türkiye, Republic of",2015,-21354.0,2.720008527905785,600963.5743645387,110489.6281130154
197,"Türkiye, Republic of",2016,-22167.0,3.02013474808043,574315.2225796651,104810.530764478
198,"Türkiye, Republic of",2017,-35145.0,3.648132635368665,694723.7173421098,107657.0253845156
199,"Türkiye, Republic of",2018,-14603.0,4.82837014720942,573375.9963547353,92997.23004056056
200,"Türkiye, Republic of",2019,15014.0,5.673819308435742,579258.4621569037,105619.6724479342
201,"Türkiye, Republic of",2020,-30976.0,7.008605415585218,638835.0024254121,93584.5779170715
202,"Türkiye, Republic of",2021,-6221.0,8.850407549283148,525142.6949627218,111184.8823821336
203,"Türkiye, Republic of",2022,-46283.0,16.54886041730672,665723.0678810172,128735.0033958925
204,"Türkiye, Republic of",2023,-39877.0,23.73856612199181,643951.0037432581,140868.4800016959
205,"Türkiye, Republic of",2024,-9973.0,32.8058614432703,659921.1957114837,154773.7801781688
206,United Kingdom,2010,-68893.62752361293,0.6471793455601648,16214959.55488799,98025.46011442468
207,United Kingdom,2011,-43445.87638900586,0.6241408357404948,17401706.7570852,109733.8995912878
208,United Kingdom,2012,-85197.23406748146,0.6330469888573272,17243860.70332696,117156.9768645913
209,United Kingdom,2013,-129528.9315323336,0.6396605776134768,16491545.88816589,118750.1937796762
210,United Kingdom,2014,-153585.3122194225,0.607729626878255,16669092.750941,124487.4252212962
211,United Kingdom,2015,-144834.3073208808,0.654545478931426,14937130.45013615,148109.2995058983
212,United Kingdom,2016,-147868.520452342,0.7406344636970842,13616357.2489752,134931.8508482785
213,United Kingdom,2017,-93747.52353696871,0.7769766823441225,15081955.98985366,150857.673778943
214,United Kingdom,2018,-112615.83909692,0.7495315402598468,14492512.49865094,172657.7495363148
215,United Kingdom,2019,-76564.5276878271,0.783445110011929,15477512.63662366,173569.1992627668
216,United Kingdom,2020,-79781.47806578699,0.7799995766971533,17838479.01810685,180054.1013895532
217,United Kingdom,2021,-13851.72062108777,0.7270649446883225,17866885.39043049,194181.3973150295
218,United Kingdom,2022,-70961.99367932416,0.8113017158277732,17258880.34228602,176409.9666466078
219,United Kingdom,2023,-118354.023140501,0.8045389067343528,17786283.77057944,177915.3562422344
220,United Kingdom,2024,-96634.3609512494,0.7824145809862618,18562990.49410088,174597.8433251816
221,United States,2010,-432002.0,1.0,24279619.37543121,488928.5087424404
222,United States,2011,-455297.0,1.0,26664257.9577894,537267.0411074739
223,United States,2012,-418112.0,1.0,27080174.37225583,574268.0841324467
224,United States,2013,-339455.0,1.0,29513421.11908352,448508.9207377113
225,United States,2014,-369978.0,1.0,31828303.53584489,434416.1887446254
226,United States,2015,-408447.0,1.0,30892217.01878358,383728.4975701326
227,United States,2016,-396219.0,1.0,32160756.99132772,405942.4287197487
228,United States,2017,-367614.0,1.0,35412791.27001443,451285.2634062397
229,United States,2018,-439851.0,1.0,34902577.75112898,449907.0888285463
230,United States,2019,-441748.0,1.0,40511618.42690315,516700.5833712466
231,United States,2020,-601207.0,1.0,46744160.06143177,628369.7153383222
232,United States,2021,-867984.0,1.0,53775457.99187956,716152.260973711
233,United States,2022,-1012103.0,1.0,47704194.22902357,706644.2159988935
234,United States,2023,-905378.0,1.0,54252800.70147584,773426.1872891277
235,United States,2024,-1133619.0,1.0,62117577.36677221,910036.5466514998
